id,country,recency,frequency,monetary,r,f,m,rfm_score,fm,segment,cluster
519,West,482,1,1490,3,1,2,312,1,about to sleep,3
520,North,481,1,1842,3,1,2,312,1,about to sleep,3
521,South,480,1,2025,3,1,2,312,1,about to sleep,3
522,North,479,1,719,3,1,1,311,1,about to sleep,3
523,North,478,1,1374,3,1,2,312,1,about to sleep,3
524,North,477,1,1056,3,1,2,312,1,about to sleep,3
525,North,476,1,2039,3,1,3,313,2,about to sleep,3
526,East,475,1,4053,3,1,5,315,3,need attention,1
527,East,474,1,2481,3,1,3,313,2,about to sleep,1
528,North,473,1,1068,3,1,2,312,1,about to sleep,3
529,South,472,1,1416,3,1,2,312,1,about to sleep,3
530,West,471,1,1143,3,1,2,312,1,about to sleep,3
531,South,470,1,381,3,1,1,311,1,about to sleep,3
532,South,469,1,2944,3,1,3,313,2,about to sleep,1
533,South,468,1,1158,3,1,2,312,1,about to sleep,3
534,North,467,1,4393,3,1,5,315,3,need attention,1
535,East,466,1,2632,3,1,3,313,2,about to sleep,1
536,South,465,1,3928,3,1,4,314,2,about to sleep,1
537,North,464,1,1108,3,1,2,312,1,about to sleep,3
538,South,463,1,1329,3,1,2,312,1,about to sleep,3
539,South,462,1,1135,3,1,2,312,1,about to sleep,3
540,North,461,1,4685,3,1,5,315,3,need attention,1
541,East,460,1,375,3,1,1,311,1,about to sleep,3
542,East,459,1,2840,3,1,3,313,2,about to sleep,1
543,West,458,1,2389,3,1,3,313,2,about to sleep,3
544,North,457,1,1339,3,1,2,312,1,about to sleep,3
545,West,456,1,225,3,1,1,311,1,about to sleep,3
546,West,455,1,4165,3,1,5,315,3,need attention,1
547,West,454,1,4412,3,1,5,315,3,need attention,1
548,East,453,1,3968,3,1,4,314,2,about to sleep,1
549,North,452,1,1308,3,1,2,312,1,about to sleep,3
550,West,451,1,3349,3,1,4,314,2,about to sleep,1
551,North,450,1,1018,3,1,1,311,1,about to sleep,3
552,North,449,1,4023,3,1,4,314,2,about to sleep,1
553,East,448,1,4503,3,1,5,315,3,need attention,1
554,West,447,1,2069,3,1,3,313,2,about to sleep,3
555,West,446,1,2893,3,1,3,313,2,about to sleep,1
556,North,445,1,991,3,1,1,311,1,about to sleep,3
557,South,444,1,4570,3,1,5,315,3,need attention,1
558,East,443,1,2133,3,1,3,313,2,about to sleep,3
559,East,442,1,1464,3,1,2,312,1,about to sleep,3
560,East,441,1,228,3,1,1,311,1,about to sleep,3
561,East,440,1,1114,3,1,2,312,1,about to sleep,3
562,West,439,1,1899,3,1,2,312,1,about to sleep,3
563,West,438,1,4712,3,1,5,315,3,need attention,1
564,South,437,1,1618,3,1,2,312,1,about to sleep,3
565,East,436,1,4281,3,1,5,315,3,need attention,1
566,East,435,1,1298,3,1,2,312,1,about to sleep,3
567,North,434,1,3973,3,1,4,314,2,about to sleep,1
568,West,433,1,2574,3,1,3,313,2,about to sleep,1
569,East,432,1,3585,3,1,4,314,2,about to sleep,1
570,South,431,1,4149,3,1,5,315,3,need attention,1
571,South,430,1,3819,3,1,4,314,2,about to sleep,1
572,West,429,1,402,3,1,1,311,1,about to sleep,3
573,South,428,1,4052,3,1,5,315,3,need attention,1
574,South,427,1,4783,3,1,5,315,3,need attention,1
575,West,426,1,1086,3,1,2,312,1,about to sleep,3
576,East,425,1,1963,3,1,2,312,1,about to sleep,3
577,East,424,1,4540,3,1,5,315,3,need attention,1
578,South,423,1,3172,3,1,4,314,2,about to sleep,1
579,South,422,1,3224,3,1,4,314,2,about to sleep,1
580,East,421,1,1427,3,1,2,312,1,about to sleep,3
581,West,420,1,2508,3,1,3,313,2,about to sleep,1
582,South,419,1,3773,3,1,4,314,2,about to sleep,1
583,North,418,1,3391,3,1,4,314,2,about to sleep,1
584,West,417,1,4133,3,1,5,315,3,need attention,1
585,South,416,1,803,3,1,1,311,1,about to sleep,3
586,South,415,1,674,3,1,1,311,1,about to sleep,3
587,North,414,1,3332,3,1,4,314,2,about to sleep,1
588,North,413,1,4883,3,1,5,315,3,need attention,1
589,East,412,1,2732,3,1,3,313,2,about to sleep,1
590,West,411,1,3928,3,1,4,314,2,about to sleep,1
591,West,410,1,3330,3,1,4,314,2,about to sleep,1
592,East,409,1,588,3,1,1,311,1,about to sleep,3
593,West,408,1,1447,3,1,2,312,1,about to sleep,3
594,West,407,1,3781,3,1,4,314,2,about to sleep,1
595,West,406,1,3273,3,1,4,314,2,about to sleep,1
596,West,405,1,4689,3,1,5,315,3,need attention,1
597,West,404,1,1767,3,1,2,312,1,about to sleep,3
598,North,403,1,1737,3,1,2,312,1,about to sleep,3
599,West,402,1,4214,3,1,5,315,3,need attention,1
600,North,401,1,3653,3,1,4,314,2,about to sleep,1
601,West,400,1,1100,4,1,2,412,1,promising,3
602,East,399,1,950,4,1,1,411,1,promising,3
603,South,398,1,1488,4,1,2,412,1,promising,3
604,North,397,1,3812,4,1,4,414,2,potential loyalists,1
605,West,396,1,1467,4,1,2,412,1,promising,3
606,East,395,1,921,4,1,1,411,1,promising,3
607,South,394,1,554,4,1,1,411,1,promising,3
608,North,393,1,1724,4,1,2,412,1,promising,3
609,South,392,1,2872,4,1,3,413,2,potential loyalists,1
610,East,391,1,3826,4,1,4,414,2,potential loyalists,1
611,North,390,1,3247,4,1,4,414,2,potential loyalists,1
612,South,389,1,4189,4,1,5,415,3,potential loyalists,1
613,West,388,1,4906,4,1,5,415,3,potential loyalists,1
614,North,387,1,2290,4,1,3,413,2,potential loyalists,3
615,South,386,1,1016,4,1,1,411,1,promising,3
616,East,385,1,4086,4,1,5,415,3,potential loyalists,1
617,East,384,1,2975,4,1,3,413,2,potential loyalists,1
618,North,383,1,1540,4,1,2,412,1,promising,3
619,South,382,1,4500,4,1,5,415,3,potential loyalists,1
620,North,381,1,835,4,1,1,411,1,promising,3
621,North,380,1,3668,4,1,4,414,2,potential loyalists,1
622,South,379,1,3438,4,1,4,414,2,potential loyalists,1
623,South,378,1,3115,4,1,4,414,2,potential loyalists,1
624,West,377,1,2989,4,1,3,413,2,potential loyalists,1
625,South,376,1,1061,4,1,2,412,1,promising,3
626,East,375,1,3089,4,1,4,414,2,potential loyalists,1
627,North,374,1,3948,4,1,4,414,2,potential loyalists,1
628,North,373,1,1126,4,1,2,412,1,promising,3
629,East,372,1,3965,4,1,4,414,2,potential loyalists,1
630,South,371,1,2963,4,1,3,413,2,potential loyalists,1
631,East,370,1,2601,4,1,3,413,2,potential loyalists,1
632,East,369,1,2047,4,1,3,413,2,potential loyalists,3
633,West,368,1,1277,4,1,2,412,1,promising,3
634,East,367,1,4860,4,1,5,415,3,potential loyalists,1
635,North,366,1,111,4,1,1,411,1,promising,3
636,East,365,1,4499,4,1,5,415,3,potential loyalists,1
637,North,364,1,3464,4,1,4,414,2,potential loyalists,1
638,North,363,1,3122,4,1,4,414,2,potential loyalists,1
639,North,362,1,3471,4,1,4,414,2,potential loyalists,1
640,South,361,1,2930,4,1,3,413,2,potential loyalists,1
641,West,360,1,142,4,1,1,411,1,promising,3
642,North,359,1,1043,4,1,2,412,1,promising,3
643,North,358,1,2490,4,1,3,413,2,potential loyalists,1
644,South,357,1,2645,4,1,3,413,2,potential loyalists,1
645,North,356,1,2511,4,1,3,413,2,potential loyalists,1
646,East,355,1,1104,4,1,2,412,1,promising,3
647,East,354,1,120,4,1,1,411,1,promising,3
648,West,353,1,506,4,1,1,411,1,promising,3
649,North,352,1,1114,4,1,2,412,1,promising,3
650,South,351,1,4531,4,1,5,415,3,potential loyalists,1
651,East,350,1,1938,4,1,2,412,1,promising,3
652,South,349,1,3288,4,1,4,414,2,potential loyalists,1
653,South,348,1,814,4,1,1,411,1,promising,3
654,East,347,1,4246,4,1,5,415,3,potential loyalists,1
655,South,346,1,3954,4,1,4,414,2,potential loyalists,1
656,East,345,1,4519,4,1,5,415,3,potential loyalists,1
657,South,344,1,4984,4,1,5,415,3,potential loyalists,1
658,East,343,1,240,4,1,1,411,1,promising,3
659,North,342,1,4665,4,1,5,415,3,potential loyalists,1
660,West,341,1,4982,4,1,5,415,3,potential loyalists,1
661,East,340,1,1063,4,1,2,412,1,promising,3
662,East,339,1,472,4,1,1,411,1,promising,3
663,West,338,1,3735,4,1,4,414,2,potential loyalists,1
664,East,337,1,2641,4,1,3,413,2,potential loyalists,1
665,East,336,1,3710,4,1,4,414,2,potential loyalists,1
666,South,335,1,1792,4,1,2,412,1,promising,3
667,West,334,1,205,4,1,1,411,1,promising,3
668,North,333,1,1781,4,1,2,412,1,promising,3
669,East,332,1,4197,4,1,5,415,3,potential loyalists,1
670,West,331,1,4116,4,1,5,415,3,potential loyalists,1
671,South,330,1,2736,4,1,3,413,2,potential loyalists,1
672,North,329,1,2237,4,1,3,413,2,potential loyalists,3
673,West,328,1,3516,4,1,4,414,2,potential loyalists,1
674,North,327,1,4545,4,1,5,415,3,potential loyalists,1
675,North,326,1,3630,4,1,4,414,2,potential loyalists,1
676,North,325,1,1386,4,1,2,412,1,promising,3
677,East,324,1,3279,4,1,4,414,2,potential loyalists,1
678,East,323,1,3754,4,1,4,414,2,potential loyalists,1
679,South,322,1,2459,4,1,3,413,2,potential loyalists,1
680,South,321,1,544,4,1,1,411,1,promising,3
681,West,320,1,135,4,1,1,411,1,promising,3
682,South,319,1,1575,4,1,2,412,1,promising,3
683,North,318,1,4057,4,1,5,415,3,potential loyalists,1
684,North,317,1,1898,4,1,2,412,1,promising,3
685,East,316,1,1945,4,1,2,412,1,promising,3
686,North,315,1,1508,4,1,2,412,1,promising,3
687,West,314,1,1808,4,1,2,412,1,promising,3
688,North,313,1,3038,4,1,3,413,2,potential loyalists,1
689,North,312,1,1400,4,1,2,412,1,promising,3
690,West,311,1,1343,4,1,2,412,1,promising,3
691,South,310,1,4076,4,1,5,415,3,potential loyalists,1
692,South,309,1,3197,4,1,4,414,2,potential loyalists,1
693,West,308,1,4716,4,1,5,415,3,potential loyalists,1
694,East,307,1,109,4,1,1,411,1,promising,3
695,North,306,1,2525,4,1,3,413,2,potential loyalists,1
696,West,305,1,1760,4,1,2,412,1,promising,3
697,North,304,1,2731,4,1,3,413,2,potential loyalists,1
698,East,303,1,4915,4,1,5,415,3,potential loyalists,1
699,North,302,1,1172,4,1,2,412,1,promising,3
700,West,301,1,3325,4,1,4,414,2,potential loyalists,1
701,North,300,1,1416,4,1,2,412,1,promising,3
702,South,299,1,4245,4,1,5,415,3,potential loyalists,1
703,East,298,1,3783,4,1,4,414,2,potential loyalists,1
704,East,297,1,3373,4,1,4,414,2,potential loyalists,1
705,East,296,1,245,4,1,1,411,1,promising,3
706,West,295,1,3140,4,1,4,414,2,potential loyalists,1
707,East,294,1,1562,4,1,2,412,1,promising,3
708,South,293,1,4776,4,1,5,415,3,potential loyalists,1
709,West,292,1,1684,4,1,2,412,1,promising,3
710,South,291,1,582,4,1,1,411,1,promising,3
711,North,290,1,3279,4,1,4,414,2,potential loyalists,1
712,North,289,1,1349,4,1,2,412,1,promising,3
713,North,288,1,4868,4,1,5,415,3,potential loyalists,1
714,North,287,1,730,4,1,1,411,1,promising,3
715,South,286,1,761,4,1,1,411,1,promising,3
716,West,285,1,3603,4,1,4,414,2,potential loyalists,1
717,West,284,1,2952,4,1,3,413,2,potential loyalists,1
718,East,283,1,2566,4,1,3,413,2,potential loyalists,1
719,South,282,1,1087,4,1,2,412,1,promising,3
720,North,281,1,1646,4,1,2,412,1,promising,3
721,South,280,1,749,4,1,1,411,1,promising,3
722,East,279,1,1068,4,1,2,412,1,promising,3
723,East,278,1,2737,4,1,3,413,2,potential loyalists,1
724,South,277,1,1200,4,1,2,412,1,promising,3
725,South,276,1,540,4,1,1,411,1,promising,3
726,South,275,1,869,4,1,1,411,1,promising,3
727,West,274,1,1443,4,1,2,412,1,promising,3
728,North,273,1,4458,4,1,5,415,3,potential loyalists,1
729,South,272,1,3829,4,1,4,414,2,potential loyalists,1
730,South,271,1,4006,4,1,4,414,2,potential loyalists,1
731,South,270,1,1677,4,1,2,412,1,promising,3
732,East,269,1,4108,4,1,5,415,3,potential loyalists,1
733,East,268,1,3451,4,1,4,414,2,potential loyalists,1
734,West,267,1,4895,4,1,5,415,3,potential loyalists,1
735,North,266,1,2449,4,1,3,413,2,potential loyalists,1
736,West,265,1,3702,4,1,4,414,2,potential loyalists,1
737,North,264,1,1341,4,1,2,412,1,promising,3
738,East,263,1,1225,4,1,2,412,1,promising,3
739,East,262,1,2701,4,1,3,413,2,potential loyalists,1
740,East,261,1,1290,4,1,2,412,1,promising,3
741,West,260,1,4231,4,1,5,415,3,potential loyalists,1
742,South,259,1,4939,4,1,5,415,3,potential loyalists,1
743,South,258,1,4548,4,1,5,415,3,potential loyalists,1
744,East,257,1,172,4,1,1,411,1,promising,3
745,South,256,1,2014,4,1,2,412,1,promising,3
746,South,255,1,2572,4,1,3,413,2,potential loyalists,1
747,West,254,1,3146,4,1,4,414,2,potential loyalists,1
748,North,253,1,807,4,1,1,411,1,promising,3
749,East,252,1,1904,4,1,2,412,1,promising,3
750,East,251,1,3813,4,1,4,414,2,potential loyalists,1
751,West,250,1,2664,4,1,3,413,2,potential loyalists,1
752,West,249,1,2575,4,1,3,413,2,potential loyalists,1
753,South,248,1,3710,4,1,4,414,2,potential loyalists,1
754,East,247,1,4355,4,1,5,415,3,potential loyalists,1
755,North,246,1,2923,4,1,3,413,2,potential loyalists,1
756,West,245,1,1835,4,1,2,412,1,promising,3
757,North,244,1,1685,4,1,2,412,1,promising,3
758,North,243,1,166,4,1,1,411,1,promising,3
759,East,242,1,3161,4,1,4,414,2,potential loyalists,1
760,East,241,1,2528,4,1,3,413,2,potential loyalists,1
761,West,240,1,4253,4,1,5,415,3,potential loyalists,1
762,East,239,1,441,4,1,1,411,1,promising,3
763,East,238,1,2874,4,1,3,413,2,potential loyalists,1
764,East,237,1,2917,4,1,3,413,2,potential loyalists,1
765,North,236,1,2761,4,1,3,413,2,potential loyalists,1
766,West,235,1,1332,4,1,2,412,1,promising,3
767,South,234,1,3974,4,1,4,414,2,potential loyalists,1
768,North,233,1,2501,4,1,3,413,2,potential loyalists,1
769,East,232,1,1594,4,1,2,412,1,promising,3
770,North,231,1,4311,4,1,5,415,3,potential loyalists,1
771,East,230,1,761,4,1,1,411,1,promising,3
772,East,229,1,3983,4,1,4,414,2,potential loyalists,1
773,North,228,1,3719,4,1,4,414,2,potential loyalists,1
774,West,227,1,1968,4,1,2,412,1,promising,3
775,East,226,1,2434,4,1,3,413,2,potential loyalists,1
776,West,225,1,3474,4,1,4,414,2,potential loyalists,1
777,South,224,1,1116,4,1,2,412,1,promising,3
778,East,223,1,4506,4,1,5,415,3,potential loyalists,1
779,West,222,1,307,4,1,1,411,1,promising,3
780,West,221,1,2765,4,1,3,413,2,potential loyalists,1
781,South,220,1,2593,4,1,3,413,2,potential loyalists,1
782,West,219,1,732,4,1,1,411,1,promising,3
783,West,218,1,2202,4,1,3,413,2,potential loyalists,3
784,South,217,1,3059,4,1,3,413,2,potential loyalists,1
785,East,216,1,3183,4,1,4,414,2,potential loyalists,1
786,West,215,1,4852,4,1,5,415,3,potential loyalists,1
787,West,214,1,2031,4,1,2,412,1,promising,3
788,West,213,1,3819,4,1,4,414,2,potential loyalists,1
789,North,212,1,2662,4,1,3,413,2,potential loyalists,1
790,South,211,1,1779,4,1,2,412,1,promising,3
791,North,210,1,336,4,1,1,411,1,promising,3
792,South,209,1,4543,4,1,5,415,3,potential loyalists,1
793,East,208,1,4825,4,1,5,415,3,potential loyalists,1
794,East,207,1,1640,4,1,2,412,1,promising,3
795,West,206,1,4043,4,1,5,415,3,potential loyalists,1
796,South,205,1,463,4,1,1,411,1,promising,3
797,East,204,1,2468,4,1,3,413,2,potential loyalists,1
798,South,203,1,385,4,1,1,411,1,promising,3
799,East,202,1,248,4,1,1,411,1,promising,3
800,North,201,1,4137,4,1,5,415,3,potential loyalists,1
801,East,200,1,4651,5,1,5,515,3,potential loyalists,1
802,North,199,1,1866,5,1,2,512,1,new customers,3
803,East,198,1,4995,5,1,5,515,3,potential loyalists,1
804,West,197,1,1112,5,1,2,512,1,new customers,3
805,North,196,1,2931,5,1,3,513,2,potential loyalists,1
806,East,195,1,2607,5,1,3,513,2,potential loyalists,1
807,West,194,1,1623,5,1,2,512,1,new customers,3
808,North,193,1,2885,5,1,3,513,2,potential loyalists,1
809,West,192,1,2656,5,1,3,513,2,potential loyalists,1
810,South,191,1,3825,5,1,4,514,2,potential loyalists,1
811,South,190,1,4676,5,1,5,515,3,potential loyalists,1
812,North,189,1,1701,5,1,2,512,1,new customers,3
813,East,188,1,2508,5,1,3,513,2,potential loyalists,1
814,North,187,1,440,5,1,1,511,1,new customers,3
815,West,186,1,2917,5,1,3,513,2,potential loyalists,1
816,East,185,1,2596,5,1,3,513,2,potential loyalists,1
817,South,184,1,1825,5,1,2,512,1,new customers,3
818,East,183,1,1789,5,1,2,512,1,new customers,3
819,South,182,1,3367,5,1,4,514,2,potential loyalists,1
820,East,181,1,4506,5,1,5,515,3,potential loyalists,1
821,East,180,1,361,5,1,1,511,1,new customers,3
822,East,179,1,1542,5,1,2,512,1,new customers,3
823,West,178,1,505,5,1,1,511,1,new customers,3
824,West,177,1,2290,5,1,3,513,2,potential loyalists,3
825,North,176,1,4537,5,1,5,515,3,potential loyalists,1
826,North,175,1,343,5,1,1,511,1,new customers,3
827,South,174,1,4685,5,1,5,515,3,potential loyalists,1
828,West,173,1,4207,5,1,5,515,3,potential loyalists,1
829,South,172,1,660,5,1,1,511,1,new customers,3
830,North,171,1,4237,5,1,5,515,3,potential loyalists,1
831,South,170,1,2825,5,1,3,513,2,potential loyalists,1
832,North,169,1,693,5,1,1,511,1,new customers,3
833,West,168,1,1926,5,1,2,512,1,new customers,3
834,East,167,1,3329,5,1,4,514,2,potential loyalists,1
835,West,166,1,3387,5,1,4,514,2,potential loyalists,1
836,South,165,1,4173,5,1,5,515,3,potential loyalists,1
837,South,164,1,233,5,1,1,511,1,new customers,3
838,West,163,1,3238,5,1,4,514,2,potential loyalists,1
839,West,162,1,4019,5,1,4,514,2,potential loyalists,1
840,North,161,1,172,5,1,1,511,1,new customers,3
841,South,160,1,4594,5,1,5,515,3,potential loyalists,1
842,South,159,1,4325,5,1,5,515,3,potential loyalists,1
843,West,158,1,3078,5,1,3,513,2,potential loyalists,1
844,East,157,1,4461,5,1,5,515,3,potential loyalists,1
845,South,156,1,2085,5,1,3,513,2,potential loyalists,3
846,East,155,1,892,5,1,1,511,1,new customers,3
847,West,154,1,4359,5,1,5,515,3,potential loyalists,1
848,West,153,1,194,5,1,1,511,1,new customers,3
849,North,152,1,1233,5,1,2,512,1,new customers,3
850,South,151,1,337,5,1,1,511,1,new customers,3
851,East,150,1,3046,5,1,3,513,2,potential loyalists,1
852,North,149,1,2630,5,1,3,513,2,potential loyalists,1
853,South,148,1,2060,5,1,3,513,2,potential loyalists,3
854,North,147,1,1148,5,1,2,512,1,new customers,3
855,West,146,1,2629,5,1,3,513,2,potential loyalists,1
856,South,145,1,3064,5,1,3,513,2,potential loyalists,1
857,North,144,1,1063,5,1,2,512,1,new customers,3
858,North,143,1,636,5,1,1,511,1,new customers,3
859,East,142,1,4323,5,1,5,515,3,potential loyalists,1
860,North,141,1,3779,5,1,4,514,2,potential loyalists,1
861,South,140,1,4287,5,1,5,515,3,potential loyalists,1
862,South,139,1,3824,5,1,4,514,2,potential loyalists,1
863,East,138,1,642,5,1,1,511,1,new customers,3
864,South,137,1,945,5,1,1,511,1,new customers,3
865,West,136,1,3703,5,1,4,514,2,potential loyalists,1
866,South,135,1,3136,5,1,4,514,2,potential loyalists,1
867,South,134,1,2594,5,1,3,513,2,potential loyalists,1
868,North,133,1,4585,5,1,5,515,3,potential loyalists,1
869,North,132,1,2819,5,1,3,513,2,potential loyalists,1
870,South,131,1,1984,5,1,2,512,1,new customers,3
871,East,130,1,4238,5,1,5,515,3,potential loyalists,1
872,North,129,1,4449,5,1,5,515,3,potential loyalists,1
873,East,128,1,3301,5,1,4,514,2,potential loyalists,1
874,South,127,1,2810,5,1,3,513,2,potential loyalists,1
875,South,126,1,2053,5,1,3,513,2,potential loyalists,3
876,West,125,1,4837,5,1,5,515,3,potential loyalists,1
877,North,124,1,3950,5,1,4,514,2,potential loyalists,1
878,South,123,1,789,5,1,1,511,1,new customers,3
879,West,122,1,2050,5,1,3,513,2,potential loyalists,3
880,North,121,1,556,5,1,1,511,1,new customers,3
881,South,120,1,2230,5,1,3,513,2,potential loyalists,3
882,South,119,1,4076,5,1,5,515,3,potential loyalists,1
883,North,118,1,4344,5,1,5,515,3,potential loyalists,1
884,North,117,1,1279,5,1,2,512,1,new customers,3
885,North,116,1,4385,5,1,5,515,3,potential loyalists,1
886,South,115,1,3665,5,1,4,514,2,potential loyalists,1
887,South,114,1,982,5,1,1,511,1,new customers,3
888,West,113,1,499,5,1,1,511,1,new customers,3
889,East,112,1,708,5,1,1,511,1,new customers,3
890,North,111,1,1738,5,1,2,512,1,new customers,3
891,South,110,1,2248,5,1,3,513,2,potential loyalists,3
892,South,109,1,1482,5,1,2,512,1,new customers,3
893,North,108,1,1503,5,1,2,512,1,new customers,3
894,East,107,1,919,5,1,1,511,1,new customers,3
895,North,106,1,3392,5,1,4,514,2,potential loyalists,1
896,East,105,1,919,5,1,1,511,1,new customers,3
897,South,104,1,519,5,1,1,511,1,new customers,3
898,East,103,1,4319,5,1,5,515,3,potential loyalists,1
899,West,102,1,4617,5,1,5,515,3,potential loyalists,1
900,South,101,1,3402,5,1,4,514,2,potential loyalists,1
901,West,100,1,1608,5,1,2,512,1,new customers,3
902,North,99,1,867,5,1,1,511,1,new customers,3
903,North,98,1,2144,5,1,3,513,2,potential loyalists,3
904,North,97,1,2239,5,1,3,513,2,potential loyalists,3
905,East,96,1,3129,5,1,4,514,2,potential loyalists,1
906,South,95,1,1649,5,1,2,512,1,new customers,3
907,North,94,1,1864,5,1,2,512,1,new customers,3
908,North,93,1,2745,5,1,3,513,2,potential loyalists,1
909,South,92,1,3816,5,1,4,514,2,potential loyalists,1
910,North,91,1,4705,5,1,5,515,3,potential loyalists,1
911,West,90,1,4581,5,1,5,515,3,potential loyalists,1
912,South,89,1,2393,5,1,3,513,2,potential loyalists,1
913,South,88,1,4937,5,1,5,515,3,potential loyalists,1
914,South,87,1,2808,5,1,3,513,2,potential loyalists,1
915,West,86,1,1000,5,1,1,511,1,new customers,3
916,South,85,1,3184,5,1,4,514,2,potential loyalists,1
917,West,84,1,2109,5,1,3,513,2,potential loyalists,3
918,South,83,1,341,5,1,1,511,1,new customers,3
919,East,82,1,2485,5,1,3,513,2,potential loyalists,1
920,North,81,1,4368,5,1,5,515,3,potential loyalists,1
921,East,80,1,771,5,1,1,511,1,new customers,3
922,North,79,1,263,5,1,1,511,1,new customers,3
923,West,78,1,564,5,1,1,511,1,new customers,3
924,East,77,1,3142,5,1,4,514,2,potential loyalists,1
925,South,76,1,4692,5,1,5,515,3,potential loyalists,1
926,North,75,1,4895,5,1,5,515,3,potential loyalists,1
927,North,74,1,2542,5,1,3,513,2,potential loyalists,1
928,East,73,1,4898,5,1,5,515,3,potential loyalists,1
929,West,72,1,2455,5,1,3,513,2,potential loyalists,1
930,East,71,1,4378,5,1,5,515,3,potential loyalists,1
931,West,70,1,4824,5,1,5,515,3,potential loyalists,1
932,West,69,1,2657,5,1,3,513,2,potential loyalists,1
933,North,68,1,645,5,1,1,511,1,new customers,3
934,East,67,1,4819,5,1,5,515,3,potential loyalists,1
935,East,66,1,3935,5,1,4,514,2,potential loyalists,1
936,West,65,1,693,5,1,1,511,1,new customers,3
937,East,64,1,4939,5,1,5,515,3,potential loyalists,1
938,South,63,1,3904,5,1,4,514,2,potential loyalists,1
939,South,62,1,1559,5,1,2,512,1,new customers,3
940,East,61,1,3593,5,1,4,514,2,potential loyalists,1
941,East,60,1,2701,5,1,3,513,2,potential loyalists,1
942,West,59,1,2544,5,1,3,513,2,potential loyalists,1
943,South,58,1,2772,5,1,3,513,2,potential loyalists,1
944,South,57,1,4300,5,1,5,515,3,potential loyalists,1
945,North,56,1,116,5,1,1,511,1,new customers,3
946,West,55,1,3291,5,1,4,514,2,potential loyalists,1
947,North,54,1,492,5,1,1,511,1,new customers,3
948,South,53,1,524,5,1,1,511,1,new customers,3
949,West,52,1,671,5,1,1,511,1,new customers,3
950,East,51,1,3731,5,1,4,514,2,potential loyalists,1
951,West,50,1,1220,5,1,2,512,1,new customers,3
952,East,49,1,341,5,1,1,511,1,new customers,3
953,East,48,1,3997,5,1,4,514,2,potential loyalists,1
954,West,47,1,4195,5,1,5,515,3,potential loyalists,1
955,East,46,1,2379,5,1,3,513,2,potential loyalists,1
956,North,45,1,888,5,1,1,511,1,new customers,3
957,South,44,1,814,5,1,1,511,1,new customers,3
958,East,43,1,4954,5,1,5,515,3,potential loyalists,1
959,North,42,1,2949,5,1,3,513,2,potential loyalists,1
960,East,41,1,875,5,1,1,511,1,new customers,3
961,South,40,1,4126,5,1,5,515,3,potential loyalists,1
962,North,39,1,2347,5,1,3,513,2,potential loyalists,3
963,South,38,1,178,5,1,1,511,1,new customers,3
964,South,37,1,4026,5,1,4,514,2,potential loyalists,1
965,North,36,1,955,5,1,1,511,1,new customers,3
966,North,35,1,2248,5,1,3,513,2,potential loyalists,3
967,North,34,1,1131,5,1,2,512,1,new customers,3
968,West,33,1,3371,5,1,4,514,2,potential loyalists,1
969,North,32,1,3676,5,1,4,514,2,potential loyalists,1
970,North,31,1,4282,5,1,5,515,3,potential loyalists,1
971,North,30,1,3556,5,1,4,514,2,potential loyalists,1
972,North,29,1,3606,5,1,4,514,2,potential loyalists,1
973,East,28,1,507,5,1,1,511,1,new customers,3
974,West,27,1,2811,5,1,3,513,2,potential loyalists,1
975,South,26,1,3188,5,1,4,514,2,potential loyalists,1
976,North,25,1,1768,5,1,2,512,1,new customers,3
977,East,24,1,247,5,1,1,511,1,new customers,3
978,East,23,1,4427,5,1,5,515,3,potential loyalists,1
979,East,22,1,3997,5,1,4,514,2,potential loyalists,1
980,South,21,1,2050,5,1,3,513,2,potential loyalists,3
981,North,20,1,465,5,1,1,511,1,new customers,3
982,West,19,1,1774,5,1,2,512,1,new customers,3
983,West,18,1,4631,5,1,5,515,3,potential loyalists,1
984,East,17,1,4594,5,1,5,515,3,potential loyalists,1
985,South,16,1,2646,5,1,3,513,2,potential loyalists,1
986,South,15,1,662,5,1,1,511,1,new customers,3
987,South,14,1,3662,5,1,4,514,2,potential loyalists,1
988,West,13,1,2589,5,1,3,513,2,potential loyalists,1
989,East,12,1,872,5,1,1,511,1,new customers,3
990,North,11,1,2137,5,1,3,513,2,potential loyalists,3
991,West,10,1,3523,5,1,4,514,2,potential loyalists,1
992,East,9,1,2667,5,1,3,513,2,potential loyalists,1
993,East,8,1,1673,5,1,2,512,1,new customers,3
994,North,7,1,3794,5,1,4,514,2,potential loyalists,1
995,North,6,1,3391,5,1,4,514,2,potential loyalists,1
996,North,5,1,1346,5,1,2,512,1,new customers,3
997,South,4,1,3819,5,1,4,514,2,potential loyalists,1
998,North,3,1,3939,5,1,4,514,2,potential loyalists,1
999,East,2,1,459,5,1,1,511,1,new customers,3
1000,North,1,1,2476,5,1,3,513,2,potential loyalists,1
